reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Genesis', 4, 12)-('Genesis', 4, 12)",לֹֽא־תֹסֵ֥ף תֵּת־כֹּחָ֖הּ לָ֑ךְ ,תֹסֵ֥ף ,כֹּחָ֖הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,514965,514966
"('Genesis', 32, 21)-('Genesis', 32, 21)",כִּֽי־אָמַ֞ר אֲכַפְּרָ֣ה פָנָ֗יו בַּמִּנְחָה֙ ,אָמַ֞ר ,פָנָ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,518307,518308
"('Genesis', 46, 32)-('Genesis', 46, 32)",כִּֽי־אַנְשֵׁ֥י מִקְנֶ֖ה הָ֑יוּ וְצֹאנָ֧ם וּבְקָרָ֛ם וְכָל־,הָ֑יוּ ,צֹאנָ֧ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,520229,520230
"('Genesis', 48, 6)-('Genesis', 48, 6)",לְךָ֣ יִהְי֑וּ עַ֣ל שֵׁ֧ם אֲחֵיהֶ֛ם יִקָּרְא֖וּ בְּנַחֲלָתָֽם׃ ,יִהְי֑וּ ,אֲחֵיהֶ֛ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,520400,520401
"('Genesis', 48, 19)-('Genesis', 48, 19)",וְגַם־ה֣וּא יִגְדָּ֑ל וְאוּלָ֗ם אָחִ֤יו הַקָּטֹן֙ יִגְדַּ֣ל מִמֶּ֔נּוּ ,יִגְדָּ֑ל ,אָחִ֤יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,520467,520468
"('Genesis', 49, 6)-('Genesis', 49, 6)",כִּ֤י בְאַפָּם֙ הָ֣רְגוּ אִ֔ישׁ וּבִרְצֹנָ֖ם עִקְּרוּ־שֹֽׁור׃ ,הָ֣רְגוּ ,רְצֹנָ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,520504,520505
"('Genesis', 49, 6)-('Genesis', 49, 7)",וּבִרְצֹנָ֖ם עִקְּרוּ־שֹֽׁור׃ אָר֤וּר אַפָּם֙ ,עִקְּרוּ־,אַפָּם֙ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,520505,520506
"('Exodus', 21, 3)-('Exodus', 21, 3)",אִם־בְּגַפֹּ֥ו יָבֹ֖א בְּגַפֹּ֣ו יֵצֵ֑א ,יָבֹ֖א ,גַפֹּ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,523012,523013
"('Exodus', 21, 21)-('Exodus', 21, 21)",לֹ֣א יֻקַּ֔ם כִּ֥י כַסְפֹּ֖ו הֽוּא׃ ס ,יֻקַּ֔ם ,כַסְפֹּ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,523076,523077
"('Exodus', 21, 29)-('Exodus', 21, 29)",הַשֹּׁור֙ יִסָּקֵ֔ל וְגַם־בְּעָלָ֖יו יוּמָֽת׃ ,יִסָּקֵ֔ל ,בְּעָלָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,523108,523109
"('Exodus', 23, 33)-('Exodus', 23, 33)",פֶּן־יַחֲטִ֥יאוּ אֹתְךָ֖ לִ֑י כִּ֤י תַעֲבֹד֙ אֶת־אֱלֹ֣הֵיהֶ֔ם ,יַחֲטִ֥יאוּ ,אֱלֹ֣הֵיהֶ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,523353,523354
"('Exodus', 25, 8)-('Exodus', 25, 8)",וְעָ֥שׂוּ לִ֖י מִקְדָּ֑שׁ וְשָׁכַנְתִּ֖י בְּתֹוכָֽם׃ ,עָ֥שׂוּ ,תֹוכָֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,523437,523438
"('Exodus', 28, 32)-('Exodus', 28, 33)",לֹ֥א יִקָּרֵֽעַ׃ וְעָשִׂ֣יתָ עַל־שׁוּלָ֗יו רִמֹּנֵי֙ תְּכֵ֤לֶת וְאַרְגָּמָן֙ וְתֹולַ֣עַת שָׁנִ֔י ,יִקָּרֵֽעַ׃ ,שׁוּלָ֗יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,523777,523778
"('Exodus', 29, 46)-('Exodus', 29, 46)",וְיָדְע֗וּ כִּ֣י אֲנִ֤י יְהוָה֙ אֱלֹ֣הֵיהֶ֔ם ,יָדְע֗וּ ,אֱלֹ֣הֵיהֶ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,523966,523967
"('Exodus', 30, 2)-('Exodus', 30, 2)",רָב֣וּעַ יִהְיֶ֔ה וְאַמָּתַ֖יִם קֹמָתֹ֑ו ,יִהְיֶ֔ה ,קֹמָתֹ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,523975,523976
