ref,phraseNode,clauseNode,verse,rareTerms,phraseType,clause,verb,nouns,phrase,prepCt,nounCt,prepositions,nounTypes,notes
"('Deuteronomy', 28, 30)",666855,535615,אִשָּׁ֣ה תְאָרֵ֗שׂ וְאִ֤ישׁ אַחֵר֙ יִשְׁכָּבֶ֔נָּה בַּ֥יִת תִּבְנֶ֖ה וְלֹא־תֵשֵׁ֣ב בֹּ֑ו כֶּ֥רֶם תִּטַּ֖ע וְלֹ֥א תְחַלְּלֶֽנּוּ׃ ,,PreO,וְאִ֤ישׁ אַחֵר֙ יִשְׁכָּבֶ֔נָּה ,ישׁגלנה,ישׁגלנה,יִשְׁכָּבֶ֔נָּה ,0,1,,?, 
"('Leviticus', 20, 20)",643078,527457,וְאִ֗ישׁ אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־דֹּ֣דָתֹ֔ו עֶרְוַ֥ת דֹּדֹ֖ו גִּלָּ֑ה חֶטְאָ֥ם יִשָּׂ֖אוּ עֲרִירִ֥ים יָמֻֽתוּ׃ ,"('DWDH/', ""father's sister"")",Objc,אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־דֹּ֣דָתֹ֔ו ,יִשְׁכַּב֙,דֹּ֣דָתֹ֔ו,אֶת־דֹּ֣דָתֹ֔ו ,1,1,את,agent, 
"('2_Samuel', 13, 14)",701661,547301,וְלֹ֥א אָבָ֖ה לִשְׁמֹ֣עַ בְּקֹולָ֑הּ וַיֶּחֱזַ֤ק מִמֶּ֨נָּה֙ וַיְעַנֶּ֔הָ וַיִּשְׁכַּ֖ב אֹתָֽהּ׃ ,,Objc,וַיִּשְׁכַּ֖ב אֹתָֽהּ׃ ,יִּשְׁכַּ֖ב,אֹתָֽהּ,אֹתָֽהּ׃ ,1,1,את,?, 
"('1_Samuel', 2, 22)",685845,542026,וְעֵלִ֖י זָקֵ֣ן מְאֹ֑ד וְשָׁמַ֗ע אֵת֩ כָּל־אֲשֶׁ֨ר יַעֲשׂ֤וּן בָּנָיו֙ לְכָל־יִשְׂרָאֵ֔ל וְאֵ֤ת אֲשֶֽׁר־יִשְׁכְּבוּן֙ אֶת־הַנָּשִׁ֔ים הַצֹּ֣בְאֹ֔ות פֶּ֖תַח אֹ֥הֶל מֹועֵֽד׃ ,,Objc,וְאֵ֤ת אֲשֶֽׁר־יִשְׁכְּבוּן֙ אֶת־הַנָּשִׁ֔ים ,יִשְׁכְּבוּן֙,נָּשִׁ֔ים,אֶת־הַנָּשִׁ֔ים ,1,1,את,agent, 
"('Leviticus', 15, 24)",641409,526891,וְאִ֡ם שָׁכֹב֩ יִשְׁכַּ֨ב אִ֜ישׁ אֹתָ֗הּ וּתְהִ֤י נִדָּתָהּ֙ עָלָ֔יו וְטָמֵ֖א שִׁבְעַ֣ת יָמִ֑ים וְכָל־הַמִּשְׁכָּ֛ב אֲשֶׁר־יִשְׁכַּ֥ב עָלָ֖יו יִטְמָֽא׃ פ ,,Objc,וְאִ֡ם שָׁכֹב֩ יִשְׁכַּ֨ב אִ֜ישׁ אֹתָ֗הּ ,יִשְׁכַּ֨ב,אֹתָ֗הּ,אֹתָ֗הּ ,1,1,את,?, 
"('Ezekiel', 23, 8)",767559,571087,וְאֶת־תַּזְנוּתֶ֤יהָ מִמִּצְרַ֨יִם֙ לֹ֣א עָזָ֔בָה כִּ֤י אֹותָהּ֙ שָׁכְב֣וּ בִנְעוּרֶ֔יהָ וְהֵ֥מָּה עִשּׂ֖וּ דַּדֵּ֣י בְתוּלֶ֑יהָ וַיִּשְׁפְּכ֥וּ תַזְנוּתָ֖ם עָלֶֽיהָ׃ ,,Objc,כִּ֤י אֹותָהּ֙ שָׁכְב֣וּ בִנְעוּרֶ֔יהָ ,שָׁכְב֣וּ,אֹותָהּ֙,אֹותָהּ֙ ,1,1,את,?, 
"('Leviticus', 20, 11)",642953,527410,וְאִ֗ישׁ אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־אֵ֣שֶׁת אָבִ֔יו עֶרְוַ֥ת אָבִ֖יו גִּלָּ֑ה מֹֽות־יוּמְת֥וּ שְׁנֵיהֶ֖ם דְּמֵיהֶ֥ם בָּֽם׃ ,,Objc,אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־אֵ֣שֶׁת אָבִ֔יו ,יִשְׁכַּב֙,אֵ֣שֶׁת,אֶת־אֵ֣שֶׁת אָבִ֔יו ,1,1,את,agent, 
"('Numbers', 5, 19)",647333,528914,וְהִשְׁבִּ֨יעַ אֹתָ֜הּ הַכֹּהֵ֗ן וְאָמַ֤ר אֶל־הָֽאִשָּׁה֙ אִם־לֹ֨א שָׁכַ֥ב אִישׁ֙ אֹתָ֔ךְ וְאִם־לֹ֥א שָׂטִ֛ית טֻמְאָ֖ה תַּ֣חַת אִישֵׁ֑ךְ הִנָּקִ֕י מִמֵּ֛י הַמָּרִ֥ים הַֽמְאָרֲרִ֖ים הָאֵֽלֶּה׃ ,,Objc,אִם־לֹ֨א שָׁכַ֥ב אִישׁ֙ אֹתָ֔ךְ ,שָׁכַ֥ב,אֹתָ֔ךְ,אֹתָ֔ךְ ,1,1,את,?, 
"('Genesis', 34, 2)",616538,518452,וַיַּ֨רְא אֹתָ֜הּ שְׁכֶ֧ם בֶּן־חֲמֹ֛ור הַֽחִוִּ֖י נְשִׂ֣יא הָאָ֑רֶץ וַיִּקַּ֥ח אֹתָ֛הּ וַיִּשְׁכַּ֥ב אֹתָ֖הּ וַיְעַנֶּֽהָ׃ ,,Objc,וַיִּשְׁכַּ֥ב אֹתָ֖הּ ,יִּשְׁכַּ֥ב,אֹתָ֖הּ,אֹתָ֖הּ ,1,1,את,?, 
"('Leviticus', 20, 12)",642965,527415,וְאִ֗ישׁ אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־כַּלָּתֹ֔ו מֹ֥ות יוּמְת֖וּ שְׁנֵיהֶ֑ם תֶּ֥בֶל עָשׂ֖וּ דְּמֵיהֶ֥ם בָּֽם׃ ,,Objc,אֲשֶׁ֤ר יִשְׁכַּב֙ אֶת־כַּלָּתֹ֔ו ,יִשְׁכַּב֙,כַּלָּתֹ֔ו,אֶת־כַּלָּתֹ֔ו ,1,1,את,agent, 
